dmu,country,year,efficiencies,CO2,material_footprint,foreign_investment,life_expectancy,income,mean_years_in_school,murder,income_share_20,target_input.CO2,target_input.material_footprint,target_input.foreign_investment,target_output.life_expectancy,target_output.income,target_output.mean_years_in_school,target_output.murder,continent
France_1996,France,1996,0.81401,7.13,19.1,448.63,78.4,35.5,9,99.999001,8.066666666666666,4.6081822423216625,15.547620446835225,365.1899979612671,78.40000000023869,35.50000000015742,10.800583054162567,101.5367292941337,Europe
France_1997,France,1997,0.85152,6.98,17.8,448.41,78.7,36.3,9.2,99.999103,8.1,4.593790060868366,15.15701908817162,381.82915333296694,78.70000000000002,36.300000000000004,10.870249809326882,101.99775610970966,Europe
France_1998,France,1998,0.83249,7.29,19.2,448.04,78.8,37.4,9.4,99.999286,8.133333333333333,4.764212815293125,15.983884928873636,372.9906147673081,78.80000000000001,37.4,10.801423149644457,101.76424731619586,Europe
France_1999,France,1999,0.83797,7.19,19.5,446.92,78.9,38.5,9.6,99.999318,8.166666666666666,4.8680715894412145,16.340480654752305,374.50705713943023,78.9000000002489,38.50000000016414,10.772029084723961,101.67849454560397,Europe
France_2000,France,2000,0.83813,7.06,20.1,446.97,79.2,39.7,9.8,99.999166,8.2,4.999650229276099,16.84634430775306,374.6174385688668,79.20000000024015,39.700000000158404,10.760863361258693,101.816347100007,Europe
France_2001,France,2001,0.86088,7.09,19.3,446.36,79.3,40.2,10,99.999187,8.2,4.9916707023163225,16.615023607190373,384.26331281358745,79.30000000025092,40.2000000001655,10.789261202738968,101.97757968482125,Europe
France_2002,France,2002,0.84874,6.96,20,446.57,79.5,40.4,10.1,99.999225,8.2,5.053966329125586,16.97486470328323,379.02326652713907,79.50000000025591,40.40000000016878,10.788417024989197,102.12464659976914,Europe
France_2003,France,2003,0.83237,7.02,20.8,447.7,79.7,40.4,10.2,99.999277,8.2,5.103681877346678,17.313232966230125,372.65069225864556,79.70000000025117,40.400000000165655,10.792204883646699,102.29921534031826,Europe
France_2004,France,2004,0.82726,6.99,21.6,448.32,80.3,41.3,10.3,99.999296,8.4,5.230712950588632,17.868772054536223,370.8762910874661,80.30000000025677,41.300000000169355,10.82936164355095,102.87391596086681,Europe
France_2005,France,2005,0.82964,6.99,21.8,446.12,80.6,41.6,10.4,99.999326,8.6,5.278511217167809,18.086053568225395,370.1169824704914,80.60000000025508,41.60000000016824,10.855135641423606,103.19583763764487,Europe
