dmu,country,year,efficiencies,CO2,material_footprint,foreign_investment,government_debt,life_expectancy,income,mean_years_in_school,murder,income_share_20,target_input.CO2,target_input.material_footprint,target_input.foreign_investment,target_input.government_debt,target_output.life_expectancy,target_output.income,target_output.mean_years_in_school,target_output.murder,target_output.income_share_20,continent
Sweden_1994,Sweden,1994,1,6.8,15.9,61.24,72.799876,78.8,33.1,10.9,99.99881,9.5,6.799999999999988,15.899999999999974,61.2399999999999,72.79987599999987,78.79999999999987,33.099999999999945,10.899999999999983,99.99880999999984,9.499999999999984,Europe
Sweden_1995,Sweden,1995,1,6.7,19.9,64.09,75.409881,79.1,34.2,10.9,99.999003,9.4,6.7,19.900000000000002,63.71648044625324,50.707772524431604,79.1003585445302,34.200155021781725,11.41087992666345,99.99945627559521,9.400042608325972,Europe
Sweden_1996,Sweden,1996,1.00001,7.13,20.5,60.38,79.109838,79.3,34.7,11,99.99883,9.38,7.130000000165849,20.500000000144805,60.38000000380795,50.43507467534968,79.30052589928351,34.700230121463484,11.61926472346198,99.99949316975587,9.380062206110582,Europe
Sweden_1997,Sweden,1997,1,6.55,20.1,62.33,80.550039,79.5,35.8,11.1,99.99897,9.36,6.550000383841855,20.100001533899576,62.24131151427896,57.72817045505842,79.50034289623206,35.8001548371043,11.23024714712408,99.99940102543223,9.360040244578643,Europe
Sweden_1998,Sweden,1998,1.00001,6.62,21.9,67.12,79.740185,79.6,37.3,11.2,99.9989,9.34,6.62,21.9,58.75264718045778,46.71571922515892,79.60055023381834,40.69480123208569,12.075642757074396,99.99959124091139,9.340064562611351,Europe
Sweden_1999,Sweden,1999,1.00001,6.3,22.3,81.5,74.719868,79.8,38.8,11.3,99.99883,9.32,6.299999999999999,22.3,62.5607558119463,49.17104422547595,79.80056859933111,40.63492733392622,12.058599294439068,99.9995425221542,9.320066407841681,Europe
Sweden_2000,Sweden,2000,1.00001,6.16,21.7,67.18,66.569972,80,40.6,11.4,99.99899,9.3,6.160002980844243,21.700004278953827,60.90603899608065,47.88501805010212,80.00042277939222,40.600216141771256,11.833645207039305,99.99951958067895,9.300049559202433,Europe
Sweden_2001,Sweden,2001,1,6.26,24.6,66.02,59.079976,80.2,41.1,11.5,99.999077,9.3,6.26,23.424048730082987,64.43631041265353,48.30254729925209,80.20036827599411,42.73596427890007,12.211935186120447,99.99953619282707,9.300042705321015,Europe
Sweden_2002,Sweden,2002,1.00001,6.35,25.6,65.39,56.370087,80.3,41.9,11.6,99.99884,9.3,6.350000000069205,23.589424334059032,63.34342095805756,48.450346069877924,80.3005695990295,43.37347892457061,12.262155202059839,99.999549330699665,9.300065968440515,Europe
Sweden_2003,Sweden,2003,1,6.39,28.7,60.3,54.78998,80.5,42.7,11.8,99.999107,9.3,6.390000000000001,24.024029234174414,60.300000000000004,39.29211382201389,80.50034896330425,49.19700408281732,12.465162277860593,99.99954049098129,9.300040315015272,Europe
Sweden_2004,Sweden,2004,1.00001,6.28,30.4,62.88,53.369925,80.7,44.4,12.3,99.99892,9.3,6.280000000917109,24.056587382012328,62.6704498034558,46.11325679213505,80.70048161496368,45.6935521330919,12.300073406125712,99.99951678977177,9.300055501839715,Europe
Sweden_2005,Sweden,2005,1.00001,5.96,27.8,63.8,53.460091,81,45.4,12.4,99.999104,8.7,5.960000000000002,25.07866571569772,60.74374519808569,34.78150946690816,81.00043331801852,51.80396432223493,12.400066336949912,99.9996389705885,8.70004654286002,Europe
Sweden_2006,Sweden,2006,1,5.9,32.5,63.71,48.430031,81.1,47.3,12.4,99.999163,9.2,5.9,24.829972071843628,63.47640823032243,35.17389210209865,81.10023362492528,51.49145368468217,12.400035720703745,99.9994510678403,9.200026502457613,Europe
Sweden_2007,Sweden,2007,1.00001,5.76,33.5,67.89,42.840026,81.3,48.6,12.5,99.99885,8.9,5.759999999999999,25.92433762507858,65.874075506826955,35.20518066777136,81.30054840481107,52.01498300052879,12.500084318082882,99.99952453689137,8.900060034475015,Europe
