dmu,country,continent,efficiency_crs,efficiency_vrs,income,hdi,hpi,cluster
Germany_2015,Germany,Europe,0.9914,1,51.2,0.938,50.7113199,2
Greece_1995,Greece,Europe,0.71672,0.78036,24.9,0.776,NA,4
Greece_1996,Greece,Europe,0.7145,0.77606,25.5,0.78,NA,4
Greece_1997,Greece,Europe,0.70561,0.7763,26.5,0.785,NA,4
Greece_1998,Greece,Europe,0.69998,0.77742,27.4,0.795,NA,4
Greece_1999,Greece,Europe,0.70439,0.77279,28.1,0.797,NA,4
Greece_2000,Greece,Europe,0.69513,0.77215,29.1,0.804,NA,4
Greece_2001,Greece,Europe,0.6939,0.78307,30.2,0.814,NA,4
Greece_2002,Greece,Europe,0.69909,0.8031,31.3,0.826,NA,4
Greece_2003,Greece,Europe,0.68847,0.77283,33,0.833,NA,4
Greece_2004,Greece,Europe,0.68927,0.76915,34.6,0.843,NA,4
Greece_2005,Greece,Europe,0.6822,0.77852,34.7,0.853,NA,4
Greece_2006,Greece,Europe,0.67876,0.77625,36.5,0.859,NA,4
Greece_2007,Greece,Europe,0.68259,0.77436,37.6,0.857,42.97984041,4
Greece_2008,Greece,Europe,0.68475,0.77467,37.4,0.865,42.98563807,4
Greece_2009,Greece,Europe,0.70625,0.80758,35.7,0.867,42.59033263,4
Greece_2010,Greece,Europe,0.72821,0.84451,33.7,0.865,43.48009841,4
Greece_2011,Greece,Europe,0.72955,0.85835,30.3,0.862,42.34241541,4
Greece_2012,Greece,Europe,0.73356,0.86108,28.3,0.865,42.14877015,4
