country,efficiency_crs,efficiency_vrs,CO2,material_footprint,foreign_investment,government_debt,life_expectancy,income,mean_years_in_school,murder,income_share_20
Romania,0.8742172727272727,0.9232827272727272,4.327272727272727,14.918181818181818,3.5054545454545436,27.933978727272727,74.28181818181818,21.60909090909091,10.736363636363636,99.99841090909091,5.4
Russia,0.84337,0.843445,9.945,6.265,1.110000000000003,63.9,67.35,12.7,10.7,99.9783,6.25
Serbia,0.783495,0.80962750000000006,4.75,18.3,4.339999999999998,61.44811,74.95,15.275,10.65,99.998535,4.525
Slovakia,0.7658488888888889,0.8333977777777778,7.082222222222223,31.855555555555554,3.392333333333335,46.03528911111111,75.71111111111111,25.27777777777778,11.677777777777777,99.99897916666667,8.78888888888889
Slovenia,0.8670616666666666,0.9873608333333334,7.9375,23.825,1.7102500000000003,38.48380383333333,79.46666666666667,33.05833333333334,11.908333333333333,99.99923716666667,9.725
South Africa,0.84032,0.84034,9.94,9.18,3.1300000000000026,24.044823,54.3,13.8,9.7,99.989,2.6
South Korea,0.863335,0.933822,11.023,25.61,0.7838,29.1667597,81.01,34.589999999999996,11.72,99.9989042,7.33
Spain,0.8208961538461539,0.9044573076923077,6.805,22.784615384615385,2.7653846153846158,49.67413426923077,80.04615384615384,34.14230769230769,8.43923076923077,99.9992125,6.642307692307693
Sweden,0.8662715384615385,0.9426553846153846,5.979615384615385,25.573076923076922,4.330349615384615,55.422676153846155,80.4076923076923,41.76538461538461,11.666923076923077,99.99897780769231,9.083076923076923
Switzerland,0.9713195833333333,0.97717625,6.075,25.1875,3.361124999999999,19.356913708333334,80.7125,59.87083333333334,11.507916666666667,99.999084,7.705
Thailand,0.9187243478260869,0.9376639130434783,3.3282608695652174,10.74,2.896608695652175,21.831217186956522,74.61304347826086,12.48,6.682608695652174,99.99488891304348,6.476086956521739
Trinidad and Tobago,0.81639,0.8208566666666667,14.4,5.3100000000000005,2.8733333333333326,48.77918,69.73333333333333,10.566666666666666,8.08,99.99141,5.35
Tunisia,0.9209,1,2.31,5.71,3.509999999999998,46.646663,76,10.5,6.4,99.9999255,6.640000000000001
Turkey,0.8654885714285714,0.9373414285714285,4.607142857142857,14.842857142857143,1.5785714285714292,35.13993585714286,76.97142857142858,22.6,7.285714285714286,99.99864285714285,5.8
Ukraine,0.879976,0.880002,6.542,4.6979999999999995,1.7024000000000008,35.7143341,67.98,8.118,10.44,99.988384,7.9750000000000005
United Kingdom,0.8236692307692307,0.9128000000000001,9.087307692307693,22.607692307692307,3.893846153846154,48.64749896153846,78.62307692307692,38.934615384615384,11.718461538461538,99.99944590384615,7.055384615384615
United States,0.7648522222222223,0.7785677777777777,20.633333333333333,33.49444444444445,1.5166666666666673,49.19681822222222,76.82222222222222,47.43888888888889,12.678888888888888,99.99224777777778,5.388888888888889
Venezuela,0.846046,0.851826,5.804,8.166,1.5073999999999983,60.379439,72.66,16.560000000000002,4.958,99.98570000000001,4.7
